HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,Transported,Amount_Spent
Europa,False,P,TRA,39.0,False,False,0.0
Earth,False,S,TRA,24.0,False,True,736.0
Europa,False,S,TRA,58.0,True,False,10383.0
Europa,False,S,TRA,33.0,False,False,5176.0
Earth,False,S,TRA,16.0,False,True,1091.0
Earth,False,P,PSO,44.0,False,True,774.0
Earth,False,S,TRA,26.0,False,True,1584.0
Earth,True,S,TRA,28.0,False,True,708.0
Earth,False,S,TRA,35.0,False,True,1018.0
Europa,True,P,CAN,14.0,False,True,0.0
Europa,True,P,TRA,34.0,False,True,3552.0
Europa,False,P,CAN,45.0,False,True,8157.0
Mars,False,P,TRA,32.0,False,True,1309.0
Earth,False,S,TRA,48.0,False,False,809.0
Earth,False,P,TRA,28.0,False,True,1003.0
Earth,False,P,TRA,31.0,False,False,908.0
Mars,False,P,CAN,27.0,False,False,1074.0
Earth,False,P,CAN,24.0,False,False,638.0
Mars,True,P,TRA,45.0,False,True,0.0
Earth,False,P,TRA,0.0,False,True,0.0
Earth,False,P,CAN,14.0,False,False,1092.0
Earth,True,S,TRA,1.0,False,False,0.0
Earth,True,S,CAN,49.0,False,False,0.0
Earth,True,S,CAN,29.0,False,False,708.0
Earth,False,S,TRA,10.0,False,True,0.0
Earth,True,S,PSO,1.0,False,False,708.0
Earth,False,S,TRA,7.0,False,False,0.0
Mars,False,P,TRA,21.0,False,False,1051.0
Europa,True,S,TRA,62.0,False,True,3552.0
Earth,False,S,TRA,15.0,False,False,1223.0
Europa,False,P,CAN,34.0,False,False,7861.0
Mars,False,P,TRA,43.0,False,False,1309.0
Earth,False,S,TRA,32.0,False,False,1821.0
Mars,False,P,TRA,47.0,False,True,2854.0
Mars,False,P,TRA,2.0,False,True,0.0
Mars,False,P,TRA,20.0,False,True,1074.0
Europa,True,S,CAN,28.0,False,True,0.0
Mars,False,P,CAN,23.0,False,False,2699.0
Earth,False,S,CAN,15.0,False,False,961.0
Earth,False,S,CAN,20.0,False,False,3355.0
Earth,True,P,CAN,30.0,False,False,708.0
Earth,True,P,TRA,17.0,False,True,0.0
Europa,False,P,TRA,45.0,False,False,3575.0
Earth,True,P,TRA,55.0,False,False,0.0
Earth,True,P,CAN,4.0,False,True,0.0
Earth,True,P,PSO,21.0,False,True,0.0
Mars,False,P,TRA,21.0,False,False,1214.0
Mars,True,P,TRA,19.0,False,True,0.0
Earth,False,S,CAN,35.0,False,False,708.0
Earth,False,S,TRA,56.0,False,False,1618.0
Earth,False,S,TRA,26.0,False,False,4689.0
Earth,False,S,TRA,25.0,False,True,1939.0
Europa,False,S,TRA,2.0,False,True,0.0
Europa,True,S,TRA,38.0,False,True,0.0
Europa,False,S,TRA,27.0,False,True,4547.0
Earth,True,S,PSO,36.0,False,False,0.0
Earth,False,S,TRA,22.0,False,False,2667.0
Earth,False,S,TRA,62.0,False,False,634.0
Mars,True,S,TRA,15.0,False,True,0.0
Earth,True,S,TRA,33.0,False,True,708.0
Earth,False,P,TRA,62.0,False,False,811.0
Earth,True,S,PSO,0.0,False,True,0.0
Earth,False,S,TRA,18.0,False,True,705.0
Earth,False,S,CAN,21.0,False,False,2007.0
Mars,False,S,TRA,34.0,False,False,1048.0
Earth,False,S,TRA,42.0,False,True,902.0
Earth,False,P,TRA,19.0,False,False,922.0
Earth,False,P,TRA,17.0,False,False,2233.0
Earth,False,S,TRA,14.0,False,False,1064.0
Mars,False,P,PSO,37.0,False,False,879.0
Europa,False,S,TRA,42.0,False,True,8904.0
Mars,False,S,TRA,27.0,False,True,1165.0
Mars,False,P,TRA,28.0,False,True,1309.0
Europa,False,S,TRA,38.0,False,False,15815.0
Earth,True,S,TRA,13.0,False,False,0.0
Mars,False,P,TRA,42.0,False,False,7406.0
Mars,True,P,TRA,2.0,False,True,0.0
Mars,False,P,TRA,8.0,False,True,0.0
Earth,False,S,TRA,24.0,False,True,705.0
Europa,True,S,TRA,40.0,False,True,0.0
Earth,False,P,TRA,43.0,False,False,1362.0
Mars,True,S,PSO,45.0,False,True,0.0
Earth,True,S,TRA,35.0,False,True,0.0
Earth,True,S,TRA,26.0,False,True,708.0
Earth,False,S,TRA,27.0,False,False,917.0
Earth,False,P,TRA,19.0,False,False,705.0
Earth,True,P,TRA,0.0,False,True,708.0
Earth,True,P,TRA,3.0,False,True,0.0
Europa,False,S,TRA,54.0,False,False,1848.0
Earth,False,P,TRA,26.0,False,False,893.0
Earth,False,P,TRA,26.0,False,True,3855.0
Earth,False,P,PSO,23.0,False,False,1301.0
Earth,False,P,TRA,2.0,False,True,0.0
Mars,True,P,TRA,31.0,False,True,0.0
Earth,False,S,TRA,18.0,False,False,921.0
Earth,False,S,TRA,24.0,False,True,708.0
Earth,True,S,CAN,9.0,False,True,0.0
Earth,True,S,TRA,6.0,False,False,0.0
Earth,False,P,TRA,27.0,False,False,703.0
Mars,False,S,TRA,21.0,False,False,1765.0
Earth,True,S,TRA,23.0,False,False,0.0
Earth,False,S,TRA,31.0,False,False,888.0
Earth,False,S,TRA,0.0,False,True,0.0
Europa,False,P,TRA,32.0,False,False,5109.0
Europa,False,P,TRA,40.0,False,False,2018.0
Europa,False,P,TRA,42.0,False,True,15940.0
Europa,True,P,TRA,28.0,False,True,0.0
Europa,True,S,TRA,29.0,False,True,0.0
Europa,False,S,CAN,48.0,True,True,2654.0
Earth,False,P,TRA,64.0,False,True,804.0
Earth,False,S,TRA,27.0,False,False,907.0
Mars,False,P,TRA,26.0,False,True,1074.0
Europa,False,P,TRA,33.0,False,True,2640.0
Earth,False,P,TRA,39.0,False,False,9307.0
Europa,True,P,TRA,13.0,False,True,0.0
Mars,True,P,TRA,24.0,False,True,1074.0
Earth,False,S,TRA,29.0,False,False,773.0
Earth,False,P,TRA,18.0,False,False,702.0
Mars,True,S,TRA,67.0,False,True,0.0
Mars,False,S,TRA,35.0,False,False,1022.0
Mars,False,S,TRA,61.0,True,False,3014.0
Mars,False,S,TRA,45.0,False,False,2109.0
Earth,True,S,PSO,22.0,False,True,708.0
Mars,True,S,TRA,19.0,False,True,0.0
Mars,False,S,TRA,36.0,False,False,2738.0
Earth,False,P,TRA,19.0,False,True,744.0
Earth,False,S,PSO,47.0,False,False,721.0
Earth,True,P,TRA,13.0,False,True,0.0
Earth,False,P,TRA,34.0,False,False,793.0
Europa,True,S,CAN,35.0,False,True,0.0
Earth,True,P,TRA,24.0,False,True,0.0
Earth,False,P,TRA,26.0,False,False,902.0
Mars,False,P,TRA,31.0,False,False,1074.0
Earth,False,S,TRA,20.0,False,True,630.0
Earth,False,S,TRA,56.0,False,False,0.0
Earth,True,S,TRA,50.0,False,True,0.0
Mars,False,P,TRA,42.0,False,False,1158.0
Earth,True,S,CAN,23.0,False,True,0.0
Earth,True,P,CAN,38.0,False,False,0.0
Earth,False,P,TRA,41.0,False,False,607.0
Earth,False,P,TRA,22.0,False,False,4180.0
Europa,True,P,TRA,26.0,False,True,0.0
Europa,True,P,TRA,17.0,False,True,0.0
Earth,False,S,TRA,57.0,False,True,708.0
Earth,True,S,PSO,17.0,False,False,0.0
Mars,True,P,TRA,35.0,False,True,0.0
Mars,True,S,TRA,13.0,False,True,0.0
Mars,False,S,TRA,27.0,False,False,1572.0
Earth,True,P,TRA,31.0,False,False,0.0
Earth,False,S,TRA,24.0,False,False,788.0
Earth,True,S,PSO,19.0,False,True,0.0
Earth,True,P,TRA,32.0,False,True,0.0
Earth,False,S,TRA,58.0,False,True,990.0
Earth,False,P,CAN,21.0,False,False,593.0
Europa,False,S,TRA,38.0,False,False,27428.0
Mars,False,S,TRA,38.0,False,False,3722.0
Earth,False,P,TRA,19.0,False,True,906.0
Earth,False,P,TRA,0.0,False,False,0.0
Earth,False,P,TRA,3.0,False,True,0.0
Earth,False,P,TRA,20.0,False,False,394.0
Europa,True,P,TRA,24.0,False,True,0.0
Earth,False,S,TRA,37.0,False,True,821.0
Earth,False,P,TRA,25.0,False,False,1018.0
Earth,True,S,TRA,56.0,False,True,0.0
Earth,False,P,CAN,49.0,False,False,788.0
Earth,True,S,CAN,11.0,False,False,0.0
Earth,True,P,TRA,1.0,False,True,0.0
Earth,False,P,TRA,8.0,False,False,0.0
Earth,False,P,TRA,39.0,False,False,908.0
Mars,True,P,TRA,2.0,False,True,0.0
Mars,False,P,TRA,23.0,False,False,1074.0
Mars,False,P,TRA,0.0,False,True,0.0
Mars,False,P,TRA,39.0,False,True,1273.0
Mars,False,P,PSO,25.0,False,False,1778.0
Europa,False,P,TRA,36.0,False,False,2342.0
Earth,False,P,PSO,52.0,False,True,0.0
Earth,True,S,TRA,18.0,False,False,0.0
Earth,True,P,TRA,15.0,False,True,0.0
Europa,True,S,TRA,35.0,False,True,0.0
Europa,True,S,TRA,47.0,False,True,0.0
